"title","state","category","description"
"Things Happening In Numbers Of Five","Texas","Haunted Places","Recouped from my fence jobs here at the lake. Sitting and having early a.m. Coffee... Here we go...!

As my first two published experiences, of things happening in five's, or including something that happened in five's during an unexplained experience, here's my last experience with things happening in five's.

This is three (3) different nights of unexplained experiences, but all three being almost the very same.

I was outside on my sister's property, in Denison,Texas, which is where I was living at the time. 

Besides the main house there is also a guest house out back, which I was living beside in a 30 foot camper. 

She has a bedroom at the very back of the main house that reaches across the whole width of the house. It had a fireplace in it also.

Before my grandfather bought her the house and three acres, one of the prior owners had built a wall down the center of the bedroom width-wise making it into two long skinny rooms.

 It had four big windows, with foil on them, stretching across the whole width of the back of the second room of the old bedroom which was the very back of the house.

The first (1) night, it was some time between midnight and two a.m... I was leaning up against one of the very tall foiled windows, with only my head, looking out at the pasture behind her property (They weren't tweakers!) 

 All of a sudden, I hear what sounds like five footsteps inside the room, I'm outside of, and the footsteps started at the doorway of that long room, and were coming towards the foiled window I was leaning up against outside the house.

After the loud five footsteps starting at the doorway of that room, coming towards me, I knew with about two more steps, it'd be at the window my head was leaning up against outside. I moved away from the window about 15 feet, after the fifth footstep.

That spare room had stuff literally just thrown into it from the doorway by my sister and brother in law. No pathway to walk in there, literally!

Each footstep had the sound of someone stepping down onto the crap on the floor, with the sound of the crap settling to the floor under pressure. All within a single footstep.

 It did five footsteps, until I moved away from the window, each of the five steps sounding as if it were recorded on an old tape recorder. Each had the same identical sounds and volume. Nothing else happened that night. 

The second (2) time, I was outside leaning with my head against a different foiled window outside the same room, the window furthest away from the room's doorway.

 It was several days after the last time, somewhere between midnight and two a.m...

Same thing... Suddenly, starting at the doorway of that room, five same exact footsteps, same exact sounds and volume as the time before like a recording. 

I'm way at the other end of that room, outside, leaning with my head against the fourth foiled window! As before, after the fifth footstep, I now realize it's coming to the window I'm at. I know within a couple more steps, it will be at the window I'm at. So I moved away from the window about 15 ft. Nothing else happened that night. 

To shorten this...

The third night. Same time, place, sounds, and volume. JUST A DIFFERENT WINDOW! No matter what window I was at, it was still five footsteps, same exact sounds, each footstep, each time like a recording.

The fourth (4) night, each of these experiences being 2 to 3 days apart, it was only about 9 p.m. This night, but dark.

I leaned my head against one of the four foiled windows, this time bumping the back of my head loudly several times against the window... NOTHING HAPPENED! Needless to say, I NEVER looked for whatever 

This thing was, EVER again!

 My sister sold the house not long after. And if you read my other two published unexplained experiences, my niece had played with a Ouija board years prior. You really need to read my last two publishings of things happening in numbers of five to get this one. At least the three experiences were in the order I published them. THANK YOU ALL FOR YOUR READING AND ALL YOUR INPUT! Y'all are great! Also, as you all know, when you have unexplained experiences, no matter how long or short, or how many times you experience things, you NEVER, EVER forget them. Word for word, every happening by happening, during EACH experience. Thanks again!"
"More Haunted Hotel Encounters","New York","Haunted Places","My husband and I and our cat were living in one of the hotel rooms. There's a long metal heating pipe that sticks out of the floor and horizontally stretches across the side wall of the room. Next to where the pipe sticks out, there's a little hole in the floor. When you look down the hole it's pitch black. I'm not sure how deep it is but it's deep enough. My cat was fascinated with it. Everyday she would sit by that hole just staring at it almost every hour. A lot of times her ears would perk up and her eyes would widen and she'd try to put her head down the hole but was never successful at it. Then one day as she was putting her face near the hole she suddenly jumped back and started backing up away from the hole. I ran over and took a flashlight to see what was going on inside it. As I shined the light in the hole I couldn't see anything but darkness. I then started to feel strange vibes in the air. Something really spooked my cat and I've never seen her get that scared before. As I said in my other story, the hotel has a history of being haunted because it used to be an asylum for the criminally insane and the basement uses to be a morgue and a lot of people have died there way back in the day. 

Staff have told me they've seen spirits multiple times there and phantom knocks on doors.

 Guests have reported encounters as well. One of my friends who also lives there told me there's was something in her room. She said her son's mood changed to angry all the time and her daughter was acting out and didn't want to go to school meanwhile her daughter loves school and has never acted out like this before. So basically her children's personalities have negatively changed ever since they moved into that room. My friend also told me that three nights in a row she would have dreams about this horned demon which really freaked her out. She told me she rarely ever has dreams especially dreams three nights in a row and especially a demonic dream. When they finally switched rooms her kids were back to their old selves and she hasn't dreamed of the horned demon since."
"Haunted Hotel Encounters","New York","Haunted Places","My husband and I and our cat live in a hotel. As I mentioned in my other stories, the hotel used be an asylum for the criminally insane and the basement was a morgue way back in the day. Out of all the rooms we lived in there was one room in particular that had the most paranormal activity and it was a negative experience. When we first moved into that room, right away the energy felt off. The atmosphere just felt heavy and depressing. One night my cat, Selene, was following something invisible around the room. She kept trying to climb the wall and kept looking up at the ceiling with her eyes moving frantically in every direction. I could feel how uncomfortable she was by all the energies she was giving off. I tried to pet her to calm her down but she pinned her ears at me and gave me an angry look. Now, Selene is one of the most sweetest cats in the world and extremely friendly with people so by her suddenly acting like this was definitely out of the ordinary. So I backed off and layed down in bed while watching TV and then Selene jumped up on her cat tree which was about a foot away from where I was laying and when I looked over at her she still had her ears pinned and she was literally giving me the death stare looking so angry. She wouldn't stop staring at me. I started getting scared. Every move I made while in bed she looked like she was ready to pounce. I never felt scared of my cat ever until that day. I was so afraid to move so I just layed in bed not moving and hysterically crying. The energies in the room were strong and angry. Finally Selene calmed down and returned to her old self. I hesitated to pet her at first but her energy reassured me that she was ok. I cried with relief when I scooped her up in my arms and held her close. Days later my husband and I were moving to a different room. As my husband was grabbing the last bit of storage from our old room he suddenly sensed negative, eerie energy around him and it freaked him out. My cat and I were already in the new room at the time my husband was in the old room feeling these negative energies. My husband isn't really a firm believer in spirits. He tries to find more logical explanations for things but this time when he admitted to me that he felt those strange energies, something was definitely in that room."
"U F Orange","Idaho","Orbs / Lights / Mists","While investigating and contacting many on my Stick Indian encounter, and talking to UFO Washington, I shared my only UFO sighting with him. He assured me the military will not bother people anymore for reporting them so after five years now I will share my only UFO sighting. I told the man who bought my home what I had seen and to look up in the early hours. He is the only one I told. 

Five years or so ago I was awakened by a very loud constant banging. I quickly get downstairs to go find the problem, at the bottom of stairs 10 feet away is the front door and I feel noise is coming from front of house. It is very early, and I am only in my briefs, so I do not turn the porch light on. There is a 6 feet wide deck above me at 10 feet high. It is very windy, and the banging is coming from my left as a new home is being built over the hillside and somebody installed a door with no doorknob, and it is BANG BANG Banging in the wind.

The city lights are below my home and the airplane lane is out in front of our road. It is kind of pastureland down in front of us, and down maybe 30 feet from my feet on the porch to valley floor. As I scan left to right over this part of Boise, I am looking straight ahead now over my neighbor's new home and above and to the right of his roof is a huge craft of some kind sitting in the sky, in the airplane lane.

 This craft is glowing an orange light. My mind showed me two school busses end to end and as tall as a bus. So this orange glowing window is 10 or 12 feet tall and 60 to 80 feet long and it is sitting in the sky at a 2:00 o'clock and 8:00 o'clock angle. There is no way to even walk in this craft at that angle. The 2:00 o'clock is pointed right at the Boise airport tower like it is showing bottom of craft towards the airport and the bottom 8:00 o'clock is at my end. This bad boy is blocking stars behind it, and I cannot tell the shape of the craft just the amazing bright orange strip that is glowing. I run to the dining room window 30 feet away to get my binoculars and return, only to find it is gone. I believe I studied it for about 12 seconds before running for binoculars. I think I caught it as it was preparing to take off hence the strange angle in the sky.

 If your hand is pointing straight down was 6:00 o'clock and point your hand straight over your head and that is 12:00 o'clock this craft's low end is at 8:00 o'clock angle it would be 10:30 in the sky and high point 2:00 o'clock pointed at airport would be 10:45 in the night sky and that is very low. I guesstimate it was less than 400 feet from the ground and less than a 1/4 mile away. Guessing only in the darkness but still huge in the night sky. The orange light could only be seen by maybe four homes positioned just above neighbors and only golf course past our street. Very Strategically planned hiding spot. 

 No jets sent after this craft, Airforce below and next to airport and we were close enough to hear Reveille morning and night. Did I witness a Space force craft? Were little green men probing my neighbors? Better them than me. So many questions and I do not want to see it again.

 I wanted to add I am 100 percent sure my visitation was not Stick Indians related and I will update that story when I learn more."
"Black Hooded Shadow Figure And Two Black Cloaked People","Oklahoma","Non Human Entities","On two separate occasions, I have recently seen things. The first thing I saw was on the street around the corner from my street. I was driving and stopped at the stop sign. I looked to the left. Right there on the road but to the side was a shadow like figure. It looked like a stick figure with a hooded t-shirt on. It was wierd. It was kind of like a scarecrow but it was black. I couldn't believe what I was seeing. My mind thought a kid at the bus stop because it was almost 8 am. I went through the intersection but stopped and looked back at it to try and make out what I was seeing. It was still and not moving. It's arms were thin and black as it's shirt. It didn't have hands. No face, just a head that was black with the hood shape. I started to drive off but I stopped again and tried to make out the legs which looked like black sticks or somewhat holographic or something. That was about a month ago. 

 Then, just a couple of days ago I went to the store at dusk and it had just gotten dark when I left the store. There's a stop light in the middle of town. At the stop light the fire truck went east across the next block. I turned left which is west. I go two blocks and turn right, I'm going back north and at the first stop sign, across the road, right there maybe about 10ft from the corner, on the side of the road but in the road, were two people dressed in black cloaks that touch the ground. For some reason my car lights weren't doing me any justice. It was like my lights were only shining on the bottom half of them. I tried to drive slow around them to get a good look but they had pale faces that looked shaped like the ""I know what you did last summer"" mask but it was different and scary and I sped around them. I kept thinking maybe kids/teenagers pranking or something but it's not Halloween. They weren't walking just standing there, looking around, like they didn't know where they were or waiting. The reason I mention the fire truck is because the fire station is just a block down from where they were.

 I'd like to know what these things were and why I'm seeing them."
"I Think I Saw My Father's Doppelgänger","Virginia","Non Human Entities","My name is Deasia, I'm 15 but I was 14 when this happened in January or February of 2023. I know I wasn't hallucinating or having delusions, I was sitting on the couch it was around 10 or 11 pm. All my family members have gone to sleep and I'm always the last one to fall asleep in the house. I remember I was watching a true crime YouTube video as I am into true crime. I was also texting my friends and my boyfriend at the time. And then I saw my father walking down the hall.

 I was thinking to myself. ""Why is my father up? He falls asleep early as he wakes up for work at 4 am."" I was calling my father's name and he wasn't answering at all, and I thought that's weird my father always answers me. I then saw him walk into the kitchen. I then got up to ask him why he was up, but when I walked into the kitchen he was gone. I was like what the actual F**K, I don't remember my father walking out of the kitchen at ALL. I was even questioning my sanity, but I then walked down the hall to see if my father was actually awake but he wasn't he was in a deep sleep. And things even got weirder and I was like nope I AM not sleeping tonight. I then told one of my friends about the situation that just happened. She tried to say it was a Skinwalker. But I said wouldn't they eat me? I stayed up until my father woke up for work. I told him the story and he believed but my siblings and my mother didn't since they don't believe in ghosts. Hopefully, I don't see that being or thing I thought was my father ever again..."
"Haunted Historic Mansion In Akron","Ohio","Ghost Tours & Haunted Hotels","Last year in 2023, when a lot of the pandemic restrictions were lifted, my two friends, and I went to the beautiful Hower House in Akron, Ohio that sits not too far from Akron University with a Sorority house nearby. 

I feel I should supply you with some significant background (I know, I know. Here she goes with another history lesson!). However, I feel this background may supply some possible insight as to the nature of the hauntings. Not only in the house, but, allegedly on the property itself.

Before the house was even built it was all Indian land. Lets face it. Indians were the indigenous people before the Settlers moved in. Thus, there may be some possible paranormal fodder for thought associated with that fact also.

John Henry Hower moved to Akron from Doylestown, Ohio in 1865 with his wife Susan Youngker Hower. They had three sons. The house, actually a mansion, was constructed in 1871, and consists of 28 rooms that the Hower family filled to capacity with lovely, and exotic souvenirs/artifacts from all over the world (If I had their money-I'd burn mine.). Well traveled family. John was a Miller/Reaper who processed grain turning it into cereal. A lot of cereal. Enough cereal that it made him extremely wealthy. He became known as 'The Father of Akron Industry'. With that vast wealth he needed a dwelling in keeping with his status in the community. A very grand dwelling, indeed.

The building is a Victorian mansion constructed in the Second Empire Italianate style. It is gorgeous-forgive me, but I love those kinds of houses. I would never want to live in one. Too much upkeep. Alright to visit them though.

John's first wife, Susan, died of one of the many fatal illnesses/diseases that were prevalent during those years. However, Susan made John promise that he'd never marry again. A rather unreasonable request I think. He got lonely and remarried 4 years later to his second wife, Rebecca. I mention this little tidbit for a specific reason, so bear with me, please.

The mansion required a lot of servants therefore requiring that a structure be built to house them. The Servant's quarters were a separate building nearby. The former servant's quarters were, much later, turned into a sorority house, but more on that later.

John Hower's second son, Milton Otis Hower, moved in with his wife and two children, Grace, and John, many years later.

 In 1900 John wrote a letter to his son describing some unusual happenings, such as floating lights, that were appearing in the house that his mother witnessed. However, they didn't feel threatened by the events. The Hower family lived in the mansion for 100 years until the last matriarch of the family, Grace, passed on and willed the entire estate to the University of Akron in 1973. It was turned into a museum, and has been operated in that capacity since the 1980's. Here, my friends, is where it gets really interesting.

The University of Akron would send two female students from the nearby sorority house to live and work in the museum for a year, or two. The two young women would get room and board while working there, as well as keeping an eye on the place after tours closed. However, before I continue I would like to contribute the fact that this house and it's paranormal history has been documented long before this post I submit here. One of the stories written about it was in a book on Ohio's paranormal events titled 'It Came from Ohio' written in 2012 by James Renner, a paranormal researcher and writer. He would go to allegedly haunted locations, interview witnesses, and try to gather his own first-hand information. Ohio's haunted history goes all the way back to the Revolutionary War. Just supplying some facts in the event any of you may be interested. You may be surprised what has gone on in good old Ohio.

Now, to continue. Mr. Renner interviewed one of the two young women that were staying in the mansion around the late 90's. The young woman he interviewed, Ashley, started working/living at the mansion in 1998 and stayed for two years. She told him that she never believed the ghost stories associated with the place until-as usual-she had her own experiences. She claimed that she would hear persistent knocking on the inside of her closet door every night. It spooked her. She learned that a century ago, a housekeeper would lock her children in that closet to punish them. One of the children, a boy, had a hammer and would pound on the inside of the door pleading to be let out. The reason for the knocking she surmised. After she learned that she slept with the closet door open. Also, her and another roommate would sit up some nights listening to someone downstairs playing the piano. They called the police. Before the officer entered the house he called on the radio for back-up, and to bring their Proton Packs. He informed Ashley that it was not the first time that the police were called to that house for such disturbances as that and many others that go back for decades.

 One night she had her boyfriend over. They were sitting in her room and her boyfriend was facing the door when she noticed that his face froze while she was talking to him. He was staring at the open door. She looked up and they BOTH saw an elderly woman walk by in something like a long nightgown trailing behind her. Yet they heard absolutely no footsteps. The woman they saw matched the portrait in the hallway of the last matriarch of the family, Grace. Somehow she was out of the portrait and walking about the house. Ashley called her friend who worked there before her. Her friend told her that Grace didn't like men in the house. That's why they always took in female caretakers to stay there. It came to a head when, one night, this ghost attacked her boyfriend. He woke her up one night covered in sweat and white as a sheet. He told her that the bed sheets were yanked up around his neck so tight as to begin choking him while he heard a female voice whispering something horrible in his ear. Ashley left shortly after that, and another young women took her place. Thus adding to the long line of witnesses to the activity in the house.

 The last event that took place was when a school security guard responded to check out a disturbance late one night. He removed his shoes so as not to soil the lovely carpeting in the entrance way. While he was inspecting the floors he clearly heard a female voice sternly say ""Get out of my house"". He was so scared that he left without his shoes. Some have theorized that the ghost may be that of Susan Hower, the first wife of John, upset by a broken vow to never remarry. Therefore taking offense to all men who enter her home.

Now that I've laid a fairly respectable foundation, on to my personal encounter with my friends, while we were touring that astounding mansion. We wanted to take a self-guided tour, but, guess what? You have to be accompanied by a female student Monitor. She was very nice, and apologetic about having to go with us, and my friends were a bit put off by this. I took them aside and explained to them that, possibly, some less than honest tourists may have come through and stolen some of the many beautiful antique artifacts during some past tours. Therefore making it necessary to have a monitor come along to prevent any further thefts. After all she didn't know us personally. Let alone know how honest we were. We accepted it on those grounds and let her follow us around. She would gladly answer any questions that we asked of her in regards to the house.

 I was in Victorian Paradise just gawking at all the fantastic antique furnishings, dishes, China, jewelry, Ivory carvings, candelabras, family portraits, Tiffany lamps, crystal lighting fixtures and personal items of the family. Right on!

We gravitated to the second floor to enjoy the other lovely rooms and what have you. While we were standing in the hallway admiring a gorgeous Walnut Parlor table with delicate lamps, and picture frames, outside of a room with a closed door. We all heard some rather noticeable and loud knocking inside that room. We questioned the monitor, but she just said that the room is always locked and nothing is in there. We countered with the fact that there was loud knocking in there so someone has to be in that room, but she just went pale, and said she didn't possess a key to enter it, and seemed somewhat shaken. We realized that she was spooked at this point and let it drop.

It was a bit spooky, but did not detract from our enjoyment of touring that wonderful place. However, just before we left for the day I sent a mental request to whatever, or whomever, that we enjoyed the house, and told it to continue to stay in it's beautiful house, and be happy, and not to follow us home. I thanked it for letting us see their beautiful home, and wished it well. Might sound silly, but I don't like to take chances. 

There have been other accounts of visitors encountering what they thought were Indians outside roaming the outer perimeter of the grounds, but I, personally, cannot confirm, or deny those claims. The Hower House in Akron is well worth the cost of admission. Even without the spirits. I apologize for this lengthy narrative, but I had a lot to impart to you. Again, I thank you for being tenacious enough to read this account!"
"Did Something Followed Me?","Texas","A Haunted Life","If you read about my prior published true unexplained experience (sorry, kind of lengthy), but that experience was back to back for about an hour and half, which I had experienced. 

Long story short, things started happening in numbers of ""five"". I think something may have followed me to my dad's house in town. 

He had gone to town. I stayed behind that day and started doing house work to help him since my step mom had passed away the year before.

I was in the hallway vacuuming. At the end of the hall were four doors. One to the restroom, and three to the three bedrooms. All were shut good for sure. I had just been in them cleaning prior to vacuuming the hallway. 

The vacuuming in the hallway was very loud. Behind me about five feet was my step mom's old room where she passed away a year prior to this.

All of a sudden, with my back to her old room, it seemed like time stood still. Then the sound of her door slamming shut ""five"" times real fast happened!

It seemed as if the ""five"" slams lasted a couple of seconds, but it HAD to be longer than that because I actually had time to count the slams!

 It happened so fast that I couldn't physically turn around fast enough to see the door while it was happening.

I got chill bumps, major. And said ""What the hel*""! I went outside until my dad got back home! 

I wonder if something followed me to my dad's in town from my sister's property just outside the edge of town?

 Has anyone else had things happen in certain numbers? And what could have followed me, if anything? I'm not sure but prior and after this activity, more things happened in ""five's""."
"Very Unexplained Experiences","Texas","Haunted Places","My sister had a property on Des Voignes Road in Denison, Tx. It was recently sold. I had visited her for years, and had even lived there twice. Nothing ""unexplained"" ever happened until my second time living there. This time, my wife and I lived in a thirty foot camper, under a metal rv cover, beside the guest house, out behind the main house. I don't know what changed, but for that year and a half of living on her property, I had many ""unexplained"" experiences happen.

 One of my experiences lasted around one and a half to two hours. It was around 1:00 p.m., in August of 2020, 104 degrees, and not a cloud in the sky. I was in the rear of the camper which was the bedroom. All of a sudden, I heard voices of what sounded like about seven or eight people coming from the other side of the guest house from where my camper sat, and the voices came around the rear of the guest house and up to my rear camper door talking the entire time, all of them at once, but not understanding one word they were saying. As soon as the voices reached the back door, all of the voices stopped. The rear door doorknob sounded as if it turned, but didn't ever release. The doorknob never physically moved. I was looking right at it the whole time. The door never opened. All of a sudden, the voices started talking again, all at once. Instead of just going directly through the small piece of privacy fence which was blocking a physical person from going from the front door to the rear door on that same side of the camper, the voices, talking continuously, as they went quickly around the camper to the front door, same side of the camper they were just at, all of the voices stopped talking all at once. The sound of the front door doorknob began ""jiggling"" vigorously immediately back and forth, but never physically moved. I was looking right at the doorknob the whole time. The door never opened.

 As I was going from the rear to the front of the camper following the voices, I grabbed my Glock 9mm. Immediately after the vigorous back and forth ""jiggling"" noise of the front door doorknob stopped, which lasted a few seconds, I opened the camper door, Glock in hand, and no one was physically there. I ran outside circling the entire property. No one was there. I went back inside the camper and started going over in my head what all had just happened!

 I sat there around fifteen minutes and then I heard something outside towards the front of the camper. I went outside and found myself standing in the opening of the yard. All of a sudden, I felt like I was the only physical person on earth. The wind picked up immediately, then stopped and came to a dead quiet just as quickly as it had began. Being close to town, just outside city limits, you could still hear train horns and police and fire sirens from there. During sirens, day or night, you'd only ever hear about two dogs within hearing distance howling. Suddenly in one direction, directly in front of me, it sounded like fifteen to twenty dogs started barking all at once, and kept barking continuously. Within what seemed like about thirty seconds, the sounds of fifteen to twenty dogs started barking directly behind me with the barking still continuous in front of me also.

In what seemed to be around thirty seconds, barking of fifteen to twenty dogs started barking directly to my left. Now what sounded to be around 45 to 60 dogs were barking continuously from 3 even directions around me. In what felt like around thirty seconds again, now the sounds of another fifteen to twenty dogs started barking from directly to my right. Now, what sounded like 60 to 80 dogs barking continuously from four totally even directions around me was happening. From the other three directions, the barking never stopped from the beginning of all of this experience. As soon as the barking started in the fourth direction, all of the barking stopped after what seemed to be just a few seconds. During all of this activity, it seemed that I was the only physical person on earth, and felt like time stood still.

 My sister had been home so I went directly into the main house to tell her all of what had just happened! I had to stop at the restroom first. It was on the opposite side of the main house from where all of the activities had just happened. The restroom had a window with a pink curtain. You could see silhouettes through the curtain but not full detail. All of a sudden, I heard sounds of feet running, coming around the house from where all the activities had just happened, coming towards the bathroom window. The voice loudly said, "" He's inside"" as it sounded like it was running around the main house towards the restroom window. No one ever passed the window. Within less than one minute, I looked through the curtain, not opening it, saw a light, brighter than daylight, dancing with a wavy, back and forth motion. Remember, it's mid day and not a cloud in the sky, and 104 degrees. The light began next door from the other side of their property at their driveway. Dancing across that property, getting bigger as it danced in it's motion as it got closer. It started out about softball size, and when it got to the edge of my sister's property fence line, which is where it stopped, it was about basketball size. I immediately leaned to the side of the window. In a few seconds, I leaned back in front of the window. The light, bright as the sun, was gone.

 I opened the pink kind of see-through curtain. I looked over to the other side of the next door property, at their driveway to where the light began. Right exactly where the light had began, stood what they portray aliens on TV to look like. It was around 6 to 7 feet tall, skinny, long neck, and medium tan in color. It was a solid, even, color. Only the outline shape and color inside. No detail features such as ears, eyes, or nose. As soon as I saw it, not scared, but ""dumbly"" letting the curtain go instead of watching it. I leaned over away from in front of the window. Within just a couple of seconds, I moved the curtain and looked out and it was gone.

 I went to the front of the house to tell my sister, who was sitting in the living room, what all had just happened. My niece had just moved out of my sister's house. She had two tall windows in her room, and had left a dresser in between the two windows and a mattress on the floor under one of the windows when she moved. The door to her old bedroom was in the living room next to where my sisters recliner sat. I started telling my sister about the activities. All of a sudden, I hear voices coming from my niece's old room. Then the voices stopped. I went into the bedroom which my niece had just moved out of, only a couple of feet. Then I heard a loud voice start talking outside, not understanding a single word it said.

 There was a dresser against the wall in between the two windows. I laid down on the mattress, under the window, ear to the wall. Also, it was a brick house. The windows being high windows. All of a sudden, I hear a loud voice down by my ear nearly at floor level, coming from outside. It sounded as if someone was shouting something to someone next door. Of course loudly, but not understanding a single word. I couldn't see the other window due to the dresser in between the two windows. I'm on the floor sitting on the old mattress. At the other window I can't see, starts the sound of like an old house window, with the window being almost painted shut. Like you'd have to raise the window but it wouldn't raise all of the way due to the build up of paint so you'd put the window down, then raising it a little harder each time until it raises all the way. It did the up and down sound four times. At this time, being very tall windows, even though all of the unexplained activities had been happening back to back around an hour now, I'm thinking this time it really sounds like something physical happening. So after the sound of the window going up and down for four times now, I'm thinking someone has to be on a step stool outside due to the tall windows. So I'm thinking they're about to get the window open and possibly fall into the house on their head. So I get up off the mattress, which is on the floor and I look around the dresser to see if they have a weapon in hand. Basically to see if I need to run or fight! I look around the dresser, straight at the window. No one there, but the sound of the window going up and down a fifth time happened while I was staring at it. Then the sound of that stopped. The window never physically moved. I was approximately 2 to 3 feet from it max when the fifth time it sounded like the window went up and down happened.

 That was all that happened that day that was unexplainable. There is more about the sound of the window going up and down five times. It will actually tie to some of my other unexplained experiences I had during the last year and a half of living on my sister's property. The window sound of ""up and down"" five times has to do with some of my other unexplained experiences happening by/in 5's."
"Multiple Haunting Experiences Almost Everyday","New York","Haunted Places","Long Beach Hotel, Long Beach, NY

1/8/24 

9:40 pm

My husband and I and our cat are residents at the Long Beach Hotel. One day my cat and I heard a knock on my door in room 325. I called out ""who is it?"" but nobody answered. I walked towards the door and saw no shadow underneath the door, heard no footsteps, and no voices. Everything was silent. I opened the door and nobody was there at all. My husband was out at the time so it wasn't him either. All of my recent spiritual encounters happens here at the hotel. The Long Beach Hotel is very old. A very long time ago, before it was a hotel, it used to be an asylum for the criminally insane and the basement of the hotel was literally a morgue. A lot of people died here. 

Another time in room 325 my AC remote was somewhere under my blankets in my bed. I stripped the entire bed right down to the mattress cover but the remote was nowhere to be found. I walked to the opposite side of the room for a minute and when I walked back to the bed, the remote was sitting right on the edge of the bed out of nowhere. I believe this was a harmless, mischievous poltergeist. 

One time I walked out of my room to go outside for a smoke and I decided to leave my lamp on. When I came back the lamp was off. I thought maybe the bulb burnt out but then I noticed the lamp key was on the off position so when I turned the key the lamp turned back on. Nobody was in my room when I left. My husband was out. I always leave a lamp on before I go out. 

One night I had my bathroom window a little less than half way open before I shut it for the night. The next morning I went into the bathroom and found the window open in the same position I had it the night before. The EXACT same position. I asked my husband if he opened it and he said he didn't. I knew it wasn't him trying to scare me or play a stupid joke on me anyway because he knows how much I believe in spirits and how I take it seriously and he'd never disrespects my beliefs."
"My Dad's Story","Connecticut","Apparitions / Voices / Touches","As a little girl growing up in the 1970s, I had a pet guinea pig. My two sisters and I each had our own guinea pigs and we loved these little guys. Mine, unfortunately, got sick and passed away. I was devastated. My Dad got a shoe box, which we decorated, and placed the deceased guinea pig in. Dad even made a little cross for the grave and we staged a little funeral in our backyard. After the funeral, I stood there alone staring at the new grave with tears rolling down my cheeks. All of the sudden, something popped up out of the ground where the guinea pig was buried and ran towards the woods before vanishing before my eyes. I couldn't believe what I was seeing. 

It was in the shape of my guinea pig and while part appeared solid, another part of it was transparent. It almost looked gelatinous, if that makes sense. A small sprout, near the makeshift grave, actually moved as this 'shape' moved by it. I knew what I had seen. My heart beat fast as I stood there, unsure what to do. I grew up in a Catholic household and we were taught that animals don't have souls. I knew that wasn't true based on this experience (and others that were to come later on in life). 

The first person I told was my younger sister who told me to stop lying. I remember trying hard to convince her through my tears that this had really happened. We are both in our 50s now and to this day, I don't think she still believes this. 

Later on that day, my Dad was out front mowing the lawn. When he saw me crying, he shut the mower off and came over to me to see how I was doing. I relayed what had happened to him with some reluctance. Much to my surprise, he believed me. 

He relayed the following story to me.

 As a young boy growing up in southern Connecticut (we lived in Massachusetts at the time), he and his older brother were camping in a makeshift tent in the backyard of my grandparent's home during the summer. This happened in the 1950s. The house was built on a hill and was the only one in the area for quite some time. My grandfather built the house with the garage built facing the backyard. When more houses went in, the street was placed to the other side of the house so it was an odd spot for a garage door. The point of these details is to describe how rural the area was at the time. 

As my Dad and Uncle slept in this tent, which was most likely a large blanket draped over rope, my Dad said a bright light appeared outside. He woke up, rubbed his eyes, and then peered outside. There stood a very old man in robes, with a long white beard, and holding a staff. The light he saw from inside the tent was actually emanating from this entity. My Dad said he was frozen in fear. The man just stood there watching him. He didn't speak or make a sound. When Dad finally got the courage, he scrambled back into his bed. He tried to wake my Uncle up but to no avail. He burrowed under the covers and closed his eyes, willing the apparition to leave.

In the morning he told my Uncle what had happened, as well as his parents, and of course, no one believed him! To this day, he swears this happened and I believe him. What is interesting to me is wondering what the entity wanted or what it's purpose was. Was it a guardian of some sort? What throws me is the robes and the staff. Almost sounds biblical and not something historically seen in what was once a rural area of Connecticut. 

My Dad is now in his late 70s and has only been given a few more months to live, due to cancer and an advanced stage of Parkinson's disease. I like to think that this spirit is a guardian, or maybe an angel, that will help him over to the other side when that time comes."
"Sounds During Solar Eclipse","Maine","Haunted Places","I am unsure if this ties into anything from my last bit I posted. But it's currently 3:13 as I write this, and it's during the Solar Eclipse, and I'm hearing stuff. Way more than usual in the house, and it's not even coming from in the house. I keep hearing knocking on my doors, and no one is here. Just random knocking on my doors. I was outside earlier and I could hear whistling while I was out gathering firewood from one of the trees that came down during the last snow storm we had so that it could dry out after being stacked up. I dropped that and left it there and came back inside because our property is PRIVATE PROPERTY. We have a literal wall built around our property line in the woods and no one really walks out back there besides us. 

So, whistling while I was in the woods gathering up wood from one of the recently felled trees, and now I got knocking on my doors that will not stop. I'm more annoyed than scared. It's literally daytime, eclipse or not, I don't like this. Granted, this isn't the first time I've heard whistling from the woods while I've been in there but usually it sounds really far away so I shrug it off and finish what I'm doing before leaving. This time it sounded real close, like maybe within 20 feet kind of close. 

And before anyone makes a comment, I live like 3 HOURS away from the Appalachian trail, it's not a ""flesh pedestrian"" or at least I seriously HOPE it's not. Currently 3:24pm as I'm writing this bit, so I think I'll skip going outside to watch the eclipse and just... Pull up a live feed offline and avoid opening the doors for whatever is knocking on them."
